"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"불꽃처럼 나비처럼",12302961500,1670652,441,57300,2009-09-24,"(주)쇼박스","15세이상관람가","멜로/로맨스,사극","김용균","최경원,조승우,수애,천호진,김선화,최재웅,남현정,이대현,봉만대,이홍,박민희,임호,최승일,박소현,정인희,김정섭,김정일,이태호,고수희,이무생,최종률,김강일,이용녀,이주실,김영민,정종열,이상훈,천명재","(주)싸이더스"
"불량남녀",3562190000,483387,338,24441,2010-11-04,"(주)쇼박스","15세이상관람가","코미디","신근호","임창정,엄지원,이영란,허서영,송혜진,정은우,임효우,김선국,박병렬,정슬기,오재진,하은설,조덕현,서태화,주영호,유순철,조재윤,한제인,김명국,권은수,김영웅,김사희,한이진","㈜트라이앵글픽쳐스,㈜비오비시네마"
"불신지옥",1795749500,248286,237,10822,2009-08-12,"(주)쇼박스","15세이상관람가","미스터리,공포(호러)","이용주","남상미,류승룡,김보연,심은경,신은정,박지선,오지은,문희경,박진우,장영남,강대희","(주)영화사아침"
"불한당: 나쁜 놈들의 세상",7716642525,958498,860,39087,2017-05-17,"(주)씨제이이엔엠","청소년관람불가","범죄,액션,드라마","변성현","설경구,임시완,김희원,전혜진,이경영,김성오,허준호,박정주,박지호,박형우,임효은,정기욱,주현수,윤준희,최형욱,이미소,이시훈,이영호,이은비,이인규,이정우,이정호,김말구,문지윤,박수영,양현민,최준영,김보미,최병모,홍인,최현종,남기애,임용순,안성봉,곽진석","(주)씨제이이엔엠,(주)바른손"
"뷰티 인사이드",16184831031,2057896,648,53350,2015-08-20,"(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","판타지,멜로/로맨스","백","한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필,이봄,손슬기,박근록,이지민,우상기,박민수,권기하,장의수,손성찬,윤기창","(주)용필름"
"뷰티풀 선데이",1123934000,169036,202,11571,2007-03-29,"(주)쇼박스","청소년관람불가","스릴러","진광교","박용우,남궁민,김응수,조경숙,신재연,왕지혜,이인원,임은혜,이주환,이우영,이인원,이기영,오정세,유하복,정애화,최정인","시네라인투(주),시네라인㈜인네트"
"브라보 마이 라이프",460596500,71409,197,6398,2007-09-06,"(주)쇼박스","12세이상관람가","드라마,코미디","박영훈","백윤식,임하룡,박준규,이소연,노영국,김성원,강규영,홍성민,김현동,김희철,안재훈,안정민,서혜진,이상경,김태훈,유종현,이효정,박윤재,윤종인,최세현,최승현,이호,오정석,왕명호,이정하,윤돈선,우기홍,정인기,최경원","미디어아지트"
"브링 더 소울 : 더 무비",2902500310,336074,569,10199,2019-08-07,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사","전체관람가","기타","박준수","김남준,김석진,민윤기,정호석,박지민,김태형,전정국","빅히트 엔터테인먼트,(주)캠프엔터테인먼트"
"브이아이피",10956621835,1373316,996,44650,2017-08-23,"워너브러더스 코리아(주)","청소년관람불가","범죄,드라마","박훈정","강소백,장동건,김명민,박희순,이종석,임보라,박재웅,박준서,박준호,신수정,안세진,조청원,지성훈,최상재,최우진,이상민,이윤하,이주원,김대현,오대환,이서준,현봉식,이정혁,유재명,최현종,임용순,곽진석,박혁민,이민혁","(주)영화사 금월,(주)페퍼민트앤컴퍼니"
"블라인드",18390012500,2367942,404,49358,2011-08-10,"(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","안상훈","김하늘,유승호,조희봉,양영조,최지호,조은서,박주혜,조하나,김기준,임채경,민소연,이보미,박영,최은석,이은이,박보검,오대환,이한솔,박충선,성유빈,백익남,김사희","(주)문와쳐"
"블랙머니",20863134010,2478964,1141,77469,2019-11-13,"(주)에이스메이커무비웍스","12세이상관람가","범죄,드라마","정지영","조진웅,이하늬,이경영,강신일,최덕문,조한철,허성태,강도연,정인기,윤진영,박영빈,최정현,엄지만,천재홍,김태향,고인배,권반석,김곤,김산,김강훈,김누리,김대근,김동규,김동인,김서하,김선희,김윤도,김재록,김종언,김종태,김주아,김진구,김진래,김형석,김형진,김호연,나연수,남명렬,남문철,노성후,노진원,류승수,문성근,문정웅,박민관,박상혁,박승일,박응수,박재완,박종범,박종희,박주미,박지현,박희진,배장수,백예현,백옥균,변동욱,서현철,서호철,선학,성병숙,송동환,송현기,신동진,신영진,엄지만,오상준,오진호,우상희,우수빈,유광수,유민주,유태오,윤병희,윤영식,윤진영,천성우,이가경,이가경,이광연,이나라,최정현,최준혁,최지연,이성민,이승훈,이시우,한갑수,한담희,이예영,이용재,한수호,이은정,허성태,이재용,이종호,이진영,황윤호,이진혁,이태형,임영혜,임정민,조정환,임채선,조한철,조형일,조혜인,장래군,진시원,장원진,정재원,전시아,정민규,정민성,정인기,정의욱,권소현,이종운","유한회사 질라라비,(주)아우라픽처스"
"비밀",369339300,50196,305,5180,2015-10-15,"CGV아트하우스","15세이상관람가","미스터리,드라마","박은경,이동하","성동일,김유정,손호준,임형준,서예지,진경,김동현,김동현,김요한,김우희,김원준,김은정,송호연,박세은,박재영,남일우","영화사 도로시(주),(주)에스에이치기획"
"비밀애",1206962000,164252,268,15211,2010-03-25,"(주)시너지하우스 (시너지)","청소년관람불가","멜로/로맨스","류훈,권지연","유지태,윤진서,유현주,임호,임형국,이미도,지대한,강애심,정인기,오연아","(주)한컴,(주)코난픽쳐스"
"비밀은 없다",2029523239,250861,502,14752,2016-06-23,"(주)씨제이이엔엠","청소년관람불가","스릴러","이경미","손예진,김주혁,장재우,장한승,신지훈,이민아,이상희,김소희,예수정,최유화,손성찬,유재명,강덕중,설창희","(주)영화사거미,필름트레인"
"비밥바룰라",324501200,47918,347,4060,2018-01-24,"(주)키다리이엔티","12세이상관람가","코미디","이성재","박인환,신구,임현식,윤덕용,김인권,이채은,이나라,최선자,성병숙,양서연,류현,조용진,강민지,강길우,김창섭","영화사김치(주)"
"비상",221371000,28964,165,4813,2009-12-03,"(주)성원아이컴","청소년관람불가","액션,드라마,멜로/로맨스","박정훈","김범,오재균,김별,이채영,배수빈,조광희,박진,박현철,지용현,서혁,최가을,김태환,박윤재,정요한,임예성,박소희,김정임,김시훈,김진우,이진혁,이찬호,이형근,이재림,이종은,반민정,이칸희,박성배","(주)디디오엘필름"
"비스트",1606470590,203042,737,12404,2019-06-26,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,스릴러","이정호","이성민,김수정,유재명,전혜진,최다니엘,김영성,문순주,이서환,권훈,김경덕,김경로,서영수,박재원,옥자연,김귀선,선율우,김대곤,김대근,김대한,박찬규,손지영,박혜숙,김만호,봉신주,봉신주,안성봉,양재훈,김상수,오진석,김은혜,이종원,정종호,이종현,고재경,최성환,정찬우,이준호,김호정,김홍파,홍준표,이송희,정명훈,강려원,이승재,조홍우,김지안,권경훈,김영경,권영조,길덕호,김만기,김민송,김병춘,이미정,임예은,김은환,김혁,한우리,김통령,조정웅,이유진,유병훈,진범일,김철환,박경용,윤은정,박빈,이종신,최문수,박세기,심완준,안시연,안시하,이재혁,이호균,이효빈,박일룡,임예슬,박태성,전우신,임진후,손찬성,장준녕,오창석,장민기,백인권,한규원,황승일,현오봉,이상희,박지수,이영호,이현균","(주)스튜디오앤뉴"
"비스트 앵콜 콘서트 3D",171432000,16844,75,579,2012-02-29,"(주)에스비에스콘텐츠허브","전체관람가","공연","손석","윤두준,이기광,양요섭,장현승,용준형,손동운","(주)에스비에스콘텐츠허브"
